Table 1
Age range,Equity %,Real Assets %,Cash %,Bonds %,VTI,VUG,VBR,VEA,VSS,VWO,VNQ,VNQI,BND,BNDX,VTIP
18‑22,85,12,2,1,60.7,13.4,10.9,42.5,14.2,28.3,7.2,4.8,0.5,0.3,0.2
23‑27,85,12,2,1,60.7,13.4,10.9,42.5,14.2,28.3,7.2,4.8,0.5,0.3,0.2
28‑32,80,12,2,6,57.1,12.6,10.3,40,13.3,26.7,7.2,4.8,3,1.8,1.2
33‑37,75,12,2,11,53.6,11.8,9.6,37.5,12.5,25,7.2,4.8,5.5,3.3,2.2
38‑42,70,12,2,16,50,11,9,35,11.7,23.3,7.2,4.8,8,4.8,3.2
43‑47,65,8,2,25,46.4,10.2,8.4,32.5,10.8,21.7,4.8,3.2,12.5,7.5,5
48‑52,55,8,2,35,39.3,8.6,7.1,27.5,9.2,18.3,4.8,3.2,17.5,10.5,7
53‑57,50,8,2,40,35.7,7.9,6.4,25,8.3,16.7,4.8,3.2,20,12,8
58‑62,45,6,3,46,32.1,7.1,5.8,22.5,7.5,15,3.6,2.4,23,13.8,9.2
63‑67,40,6,3,51,28.6,6.3,5.1,20,6.7,13.3,3.6,2.4,25.5,15.3,10.2
68‑72,35,6,3,56,25,5.5,4.5,17.5,5.8,11.7,3.6,2.4,28,16.8,11.2
