Table 1
Age range,Equity %,Real Assets %,Cash %,Bonds %,VTI,VUG,VBR,VEA,VSS,VWO,VNQ,VNQI,BND,BNDX,VTIP
18‑22,70,12,4,14,50,7,13,35,11.7,23.3,7.2,4.8,7,4.2,2.8
23‑27,65,12,4,19,46.4,6.5,12.1,32.5,10.8,21.7,7.2,4.8,9.5,5.7,3.8
28‑32,60,12,4,24,42.9,6,11.1,30,10,20,7.2,4.8,12,7.2,4.8
33‑37,55,12,4,29,39.3,5.5,10.2,27.5,9.2,18.3,7.2,4.8,14.5,8.7,5.8
38‑42,50,12,4,34,35.7,5,9.3,25,8.3,16.7,7.2,4.8,17,10.2,6.8
43‑47,45,8,4,43,32.1,4.5,8.4,22.5,7.5,15,4.8,3.2,21.5,12.9,8.6
48‑52,40,8,4,48,28.6,4,7.4,20,6.7,13.3,4.8,3.2,24,14.4,9.6
53‑57,35,8,4,53,25,3.5,6.5,17.5,5.8,11.7,4.8,3.2,26.5,15.9,10.6
58‑62,30,6,5,59,21.4,3,5.6,15,5,10,3.6,2.4,29.5,17.7,11.8
63‑67,25,6,5,64,17.9,2.5,4.6,12.5,4.2,8.3,3.6,2.4,32,19.2,12.8
68‑72,20,6,5,69,14.3,2,3.7,10,3.3,6.7,3.6,2.4,34.5,20.7,13.8
