Table 1
Age range,Equity %,Real Assets %,Cash %,Bonds %,VTI,VUG,VBR,VEA,VSS,VWO,VNQ,VNQI,BND,BNDX,VTIP
18‑22,90,9,1,0,64.3,15.4,10.3,45,15,30,5.4,3.6,0,0,0
23‑27,90,9,1,0,64.3,15.4,10.3,45,15,30,5.4,3.6,0,0,0
28‑32,85,12,1,2,60.7,14.6,9.7,42.5,14.2,28.3,7.2,4.8,1,0.6,0.4
33‑37,80,12,1,7,57.1,13.7,9.1,40,13.3,26.7,7.2,4.8,3.5,2.1,1.4
38‑42,75,12,1,12,53.6,12.9,8.6,37.5,12.5,25,7.2,4.8,6,3.6,2.4
43‑47,70,8,1,21,50,12,8,35,11.7,23.3,4.8,3.2,10.5,6.3,4.2
48‑52,60,8,1,31,42.9,10.3,6.9,30,10,20,4.8,3.2,15.5,9.3,6.2
53‑57,55,8,1,36,39.3,9.4,6.3,27.5,9.2,18.3,4.8,3.2,18,10.8,7.2
58‑62,50,6,2,42,35.7,8.6,5.7,25,8.3,16.7,3.6,2.4,21,12.6,8.4
63‑67,45,6,2,47,32.1,7.7,5.1,22.5,7.5,15,3.6,2.4,23.5,14.1,9.4
68‑72,40,6,2,52,28.6,6.9,4.6,20,6.7,13.3,3.6,2.4,26,15.6,10.4
