Table 1
Age range,Equity %,Real Assets %,Cash %,Bonds %,VTI,VUG,VBR,VEA,VSS,VWO,VNQ,VNQI,BND,BNDX,VTIP
18‑22,60,12,5,23,42.9,4.3,12.9,30,10,20,7.2,4.8,11.5,6.9,4.6
23‑27,55,12,5,28,39.3,3.9,11.8,27.5,9.2,18.3,7.2,4.8,14,8.4,5.6
28‑32,50,12,5,33,35.7,3.6,10.7,25,8.3,16.7,7.2,4.8,16.5,9.9,6.6
33‑37,45,12,5,38,32.1,3.2,9.6,22.5,7.5,15,7.2,4.8,19,11.4,7.6
38‑42,40,12,5,43,28.6,2.9,8.6,20,6.7,13.3,7.2,4.8,21.5,12.9,8.6
43‑47,35,8,5,52,25,2.5,7.5,17.5,5.8,11.7,4.8,3.2,26,15.6,10.4
48‑52,30,8,5,57,21.4,2.1,6.4,15,5,10,4.8,3.2,28.5,17.1,11.4
53‑57,25,8,5,62,17.9,1.8,5.4,12.5,4.2,8.3,4.8,3.2,31,18.6,12.4
58‑62,20,6,6,68,14.3,1.4,4.3,10,3.3,6.7,3.6,2.4,34,20.4,13.6
63‑67,15,6,6,73,10.7,1.1,3.2,7.5,2.5,5,3.6,2.4,36.5,21.9,14.6
68‑72,10,6,6,78,7.1,0.7,2.1,5,1.7,3.3,3.6,2.4,39,23.4,15.6
