Table 1
Age range,Equity %,Real Assets %,Cash %,Bonds %,VTI,VUG,VBR,VEA,VSS,VWO,VNQ,VNQI,BND,BNDX,VTIP
18‑22,80,12,3,5,57.1,11.4,11.4,40,13.3,26.7,7.2,4.8,2.5,1.5,1
23‑27,75,12,3,10,53.6,10.7,10.7,37.5,12.5,25,7.2,4.8,5,3,2
28‑32,70,12,3,15,50,10,10,35,11.7,23.3,7.2,4.8,7.5,4.5,3
33‑37,65,12,3,20,46.4,9.3,9.3,32.5,10.8,21.7,7.2,4.8,10,6,4
38‑42,60,12,3,25,42.9,8.6,8.6,30,10,20,7.2,4.8,12.5,7.5,5
43‑47,55,8,3,34,39.3,7.9,7.9,27.5,9.2,18.3,4.8,3.2,17,10.2,6.8
48‑52,50,8,3,39,35.7,7.1,7.1,25,8.3,16.7,4.8,3.2,19.5,11.7,7.8
53‑57,45,8,3,44,32.1,6.4,6.4,22.5,7.5,15,4.8,3.2,22,13.2,8.8
58‑62,40,6,4,50,28.6,5.7,5.7,20,6.7,13.3,3.6,2.4,25,15,10
63‑67,35,6,4,55,25,5,5,17.5,5.8,11.7,3.6,2.4,27.5,16.5,11
68‑72,30,6,4,60,21.4,4.3,4.3,15,5,10,3.6,2.4,30,18,12
