Age,RiskTolerance,InvestmentHorizon,Equity%,Bond%,VTI%,VB%,VEA%,VSS%,VWO%,BND%,BNDX%
18,low,short,72,28,32.0,8.0,17.6,4.0,10.4,16.8,11.2
18,low,medium,82,18,36.4,9.1,20.0,4.6,11.8,10.8,7.2
18,low,long,87,13,38.6,9.7,21.2,4.9,12.5,7.8,5.2
18,moderate,short,82,18,36.4,9.1,20.0,4.6,11.8,10.8,7.2
18,moderate,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
18,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
18,high,short,87,13,38.6,9.7,21.2,4.9,12.5,7.8,5.2
18,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
18,high,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
19,low,short,71,29,31.5,7.9,17.3,4.0,10.2,17.4,11.6
19,low,medium,81,19,36.0,9.0,19.8,4.5,11.7,11.4,7.6
19,low,long,86,14,38.2,9.5,21.0,4.8,12.4,8.4,5.6
19,moderate,short,81,19,36.0,9.0,19.8,4.5,11.7,11.4,7.6
19,moderate,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
19,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
19,high,short,86,14,38.2,9.5,21.0,4.8,12.4,8.4,5.6
19,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
19,high,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
20,low,short,70,30,31.1,7.8,17.1,3.9,10.1,18.0,12.0
20,low,medium,80,20,35.5,8.9,19.5,4.5,11.5,12.0,8.0
20,low,long,85,15,37.7,9.4,20.7,4.8,12.2,9.0,6.0
20,moderate,short,80,20,35.5,8.9,19.5,4.5,11.5,12.0,8.0
20,moderate,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
20,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
20,high,short,85,15,37.7,9.4,20.7,4.8,12.2,9.0,6.0
20,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
20,high,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
21,low,short,69,31,30.6,7.7,16.8,3.9,9.9,18.6,12.4
21,low,medium,79,21,35.1,8.8,19.3,4.4,11.4,12.6,8.4
21,low,long,84,16,37.3,9.3,20.5,4.7,12.1,9.6,6.4
21,moderate,short,79,21,35.1,8.8,19.3,4.4,11.4,12.6,8.4
21,moderate,medium,89,11,39.5,9.9,21.7,5.0,12.8,6.6,4.4
21,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
21,high,short,84,16,37.3,9.3,20.5,4.7,12.1,9.6,6.4
21,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
21,high,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
22,low,short,68,32,30.2,7.5,16.6,3.8,9.8,19.2,12.8
22,low,medium,78,22,34.6,8.7,19.0,4.4,11.2,13.2,8.8
22,low,long,83,17,36.9,9.2,20.3,4.6,12.0,10.2,6.8
22,moderate,short,78,22,34.6,8.7,19.0,4.4,11.2,13.2,8.8
22,moderate,medium,88,12,39.1,9.8,21.5,4.9,12.7,7.2,4.8
22,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
22,high,short,83,17,36.9,9.2,20.3,4.6,12.0,10.2,6.8
22,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
22,high,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
23,low,short,67,33,29.7,7.4,16.3,3.8,9.6,19.8,13.2
23,low,medium,77,23,34.2,8.5,18.8,4.3,11.1,13.8,9.2
23,low,long,82,18,36.4,9.1,20.0,4.6,11.8,10.8,7.2
23,moderate,short,77,23,34.2,8.5,18.8,4.3,11.1,13.8,9.2
23,moderate,medium,87,13,38.6,9.7,21.2,4.9,12.5,7.8,5.2
23,moderate,long,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
23,high,short,82,18,36.4,9.1,20.0,4.6,11.8,10.8,7.2
23,high,medium,90,10,40.0,10.0,22.0,5.0,13.0,6.0,4.0
